áº£nh,x,y,x_test,y_test,x_err,y_err,err,w,h
h3,-40,250,-33.1736017042591,226.282004079511,46.5997136920946,562.54333048433,24.6808234096114,54.8299284904234,113.947581629599
h26,30,180,35.3437263734879,152.364098333543,28.5554115547102,763.743060918061,28.1477969381757,58.3885537424395,114.871038621472
h8,90,240,113.274920063634,221.963018601941,541.721903968556,325.332697953944,29.4457909033278,77.1102609942036,111.500775737147
h17,150,180,178.696584393901,149.557578794418,823.493955876293,926.741008858078,41.8358095981705,90.9378248645414,121.751403808594
h42,95,215,113.044738769531,187.166570848034,325.612597260624,774.699778357496,33.1709568089032,118.614482264365,138.429683562248
h40,-65,185,-103.001256142893,149.171979350428,1444.09546843777,1283.64706366613,52.2277946318232,103.713831747732,114.57388354886
h47,155,155,182.865452920237,113.856944422568,776.483466449939,1692.75102224766,49.6913925010921,115.324372322329,115.052815098916
h23,-90,150,-115.019856114541,120.246365454889,625.993199992352,885.278768644016,38.8750815900927,67.0471978956653,120.025191768523
h25,165,155,152.395373928931,115.89111328125,158.876598391461,1529.50502038002,41.0899211336732,111.842739966608,119.642471805696
h48,155,215,192.259029265373,180.212697675151,1388.23526179792,1210.15640304043,50.9744216724266,117.552411479335,109.880174206149
h24,-60,180,-79.0322925198463,151.69688563193,362.228158560997,801.066282932026,34.1071025080264,62.2892022901966,117.296861217868
h16,150,240,187.112731933594,219.022256174395,1377.35487157479,440.065736012701,42.6312163512548,97.4270531439012,110.929649106918
h29,30,270,38.9406265751008,255.90584047379,79.9348035553988,198.645332750247,16.6907200655228,61.3508458291331,109.219872259325
h36,125,185,156.950063397807,152.279042889995,1020.80655112391,1070.66103419479,45.7325659166278,114.047595608619,118.98928734564
h11,-60,150,-76.2730260049143,123.196061657321,264.811375356618,718.451110678135,31.3570165359326,57.0445005355343,120.108652422505
h27,30,210,35.2825632402974,188.681177939138,27.9054743877411,454.492174062692,21.9635527283368,59.792972687752,113.434369487147
h10,-90,270,-111.915908321258,262.019613942792,480.307037545766,63.6865616220739,23.3236703622702,71.3612513388357,107.350129158266
h45,-125,125,-168.026408533896,89.6423167567099,1851.27183132573,1250.16576433284,55.6905521220482,111.73591859879,120.347915157195
h43,65,245,84.2845104586693,214.386823100428,371.892343630527,937.166599884462,36.1809196057119,103.469474546371,114.40673335906
h12,0,150,-0.516180223034274,122.212755756993,0.266442022651713,772.130942620502,27.7920381520167,50.0680049773185,119.001750330771
h14,120,240,147.117358792213,222.182833763861,735.351147865595,317.451412686216,32.4469191226503,79.5118959488407,110.430790070565
h41,-35,185,-64.0088727397304,183.538705149005,841.514697629871,2.1353826415458,29.0456551014333,98.6316803962954,114.874316800025
h39,-65,245,-99.3496605657762,209.131238383632,1179.89918098404,1286.56805989187,49.6635403578511,103.204857610887,121.041308987525
h38,-65,185,-99.4421878937752,145.09515085528,1186.26430691011,1592.39698526288,52.7130087565963,101.398728893649,116.680120652722
h28,30,240,36.1064787833921,221.942906533518,37.2890831320184,326.058624457262,19.0616816569074,63.4920575541835,111.050469183153
h34,95,215,129.10878827495,184.83160695722,1163.40943758534,910.131938783641,45.5361546067406,110.377276020665,115.67389703566
h1,60,200,81.2539968182964,156.028422694052,451.732380752152,1933.49961077292,48.838836918226,67.2577691847278,114.470067178049
h4,120,200,147.560444493448,156.48181546119,759.578100676404,1893.83238555396,51.5112656244279,83.1711110761089,118.899240801411
h2,-60,200,-70.887451171875,157.823092552923,118.536593019962,1778.89152179927,43.5594778988365,60.059317311933,120.172562137727
h13,60,180,70.3148921843498,153.895273516255,106.397000774761,681.456744791135,28.0687325251051,62.1927175214214,111.162798481603
h30,60,270,75.248787172379,256.240598617061,232.525510228511,189.32112641681,20.5389054393198,69.1654919039818,108.895775579637
h20,-60,300,-77.5226174631426,296.933012931578,307.042122759631,9.40640967786992,17.7890003214768,64.2379465410786,98.206787109375
h44,95,185,110.882617581275,154.392892160723,252.257541233032,936.795050285113,34.4826418871603,119.722565681704,135.970311318674
h50,95,215,116.028737714214,178.773400091356,442.207809853194,1312.36654094098,41.8876395944456,106.263723065776,112.616833102319
h32,65,215,87.9588465536794,183.118891562185,527.108635075398,1016.40507522372,39.2875770479565,105.277316185736,115.012531895791
h37,125,215,155.668797646799,184.308250181137,940.575149100328,941.983506943702,43.3884622456711,116.255729429183,116.819901004914
h5,60,240,80.9157832976311,224.93408203125,437.469990953462,226.981884241104,25.776964041457,69.6647791708669,109.657198998236
h49,155,245,197.104826896421,216.472305790071,1772.81644797761,813.829336935242,50.8590777041115,118.834031628024,109.239319832094
h9,90,180,110.560588221396,152.329780824723,422.737788009815,765.641029207879,34.4728707423344,74.7218568863407,114.977535124748
h33,95,185,123.010431105091,152.103025374874,784.584250693034,1082.21093948618,43.2064253344247,108.761576990927,119.328298261089
h7,60,210,77.9871885238155,188.338416314894,323.538950991281,469.224207746844,28.1560501267157,70.4249621975807,113.917664558657
h25,-30,180,-43.0074581023185,152.493438720703,169.193966283572,756.610913411714,30.4270419149691,51.7228058845766,117.028434507308
h15,120,150,138.217428884199,120.78866774036,331.874715150832,853.301932383062,34.4263946345518,78.7064681514617,119.328327794229
h18,120,180,140.680049773185,151.404330345892,427.664458621429,817.712322966866,35.2898963102514,78.6588607295867,116.765589560232
h6,-30,240,-30.994882891255,225.056910361013,0.989791967311991,223.295927958797,14.9761717380013,53.8590412755166,111.37940929782
h31,45,245,53.5953546339466,220.633348034274,73.8801212833069,593.73372801881,25.8382245772057,102.182951896421,110.656423261089
h46,-185,125,-232.512075362667,80.1809544717112,2257.39730526775,2008.74684206683,65.315726646303,115.190062984343,123.790873865927
h21,-60,240,-77.1219561176915,223.639098136656,293.161381296154,267.679109781981,23.682071089289,60.3566717332409,112.696661180066
h35,125,155,151.842986076109,115.194367439516,720.545901482175,1584.48838354025,48.0107725934756,111.817548198085,120.187528056483
h22,-60,180,-79.6205040716356,151.674366612588,384.964180025069,802.341506798059,34.4573023729822,61.0296729303175,120.439239009734
h19,90,270,118.579987556704,258.27637703188,816.815688741334,137.44333549863,30.8910832480825,75.5923757245464,109.486556514617
